Station ,Category
Acton Town,Metro 
Aldgate,Metro 
Aldgate East,Metro 
Alperton,Local 
Amersham,Local 
Angel,Metro 
Archway,Metro 
Arnos Grove,Metro 
Arsenal,Metro 
Baker Street,Destination
Balham,Metro 
Bank and Monument,Destination
Barbican,Metro 
Barking,N/A
Barkingside,Local 
Barons Court,Local 
Bayswater,Metro 
Becontree,Local 
Belsize Park,Metro 
Bermondsey,Metro 
Bethnal Green,Metro 
Blackfriars,Metro 
Blackhorse Road,Metro 
Bond Street,Destination
Borough,Metro 
Boston Manor,Local 
Bounds Green,Metro 
Bow Road,Metro 
Brent Cross,Local 
Brixton,Metro 
Bromley-by-Bow,Local 
Buckhurst Hill,Local 
Burnt Oak,Local 
Caledonian Road,Metro
Camden Town,Destination
Canada Water,Destination
Canary Wharf,Destination
Canning Town,Metro
Cannon Street,Metro
Canons Park,Local 
Chalfont & Latimer,Local 
Chalk Farm,Metro
Chancery Lane,Metro
Charing Cross,Destination
Chesham,Local 
Chigwell,Local 
Chiswick Park,Local 
Chorleywood,Local 
Clapham Common,Metro
Clapham North,Metro
Clapham South,Metro
Cockfosters,Metro
Colindale,Local 
Colliers Wood,Metro
Covent Garden,Metro
Croxley,Local 
Dagenham East,Local 
Dagenham Heathway,Local 
Debden,Local 
Dollis Hill,Local 
Ealing Broadway,Local 
Ealing Common,Local 
Earl's Court,Destination
East Acton,Local 
East Finchley,Local 
East Ham,Local 
East Putney,Local 
Eastcote,Local 
Edgware,Local 
Edgware Road (Bak),Metro
Edgware Road (H&C),Metro
Elephant & Castle,Destination
Elm Park,Local 
Embankment,Destination
Epping,Local 
Euston,Gateway
Euston Square,Metro
Fairlop,Local 
Farringdon,Destination
Finchley Central,Local 
Finchley Road,Metro
Finsbury Park,Destination
Fulham Broadway,Metro
Gants Hill,Metro
Gloucester Road,Destination
Golders Green,Local 
Goldhawk Road,Local 
Goodge Street,Metro
Grange Hill,Local 
Great Portland Street,Metro
Green Park,Destination
Greenford,Local 
Gunnersbury,Local 
Hainault,Local 
Hammersmith (D&P),Metro
Hammersmith (H&C),Local 
Hampstead,Metro
Hanger Lane,Local 
Harlesden,Local 
Harrow & Wealdstone,Metro
Harrow-on-the-Hill,Metro
Hatton Cross,Metro
Heathrow Terminal 123,Gateway
Heathrow Terminal 4,Metro
