Station,Category,Zone,LineCount,TotPlatforms,WeekdayEnEx,SaturdayEnEx,SundayEnEx,TotalEnExCount,Year
Acton Town,Metro,3,2,4,18071,12654,8797,5.75,2013
Acton Town,Metro,3,2,4,18797,13982,9768,6.06,2014
Acton Town,Metro,3,2,4,19401,14197,9972,6.24,2015
Acton Town,Metro,3,2,4,19575,13960,10106,6.27,2016
Acton Town,Metro,3,2,4,18913,18913,9529,5.73,2017
Acton Town,Metro,3,2,4,19559,12914,10003,5.79,2018
Acton Town,Metro,3,2,4,20169,15162,10679,6.19,2019
Acton Town,Metro,3,2,4,7331,4122,3056,3.57,2020
Acton Town,Metro,3,2,4,13707,11216,8135,2.9,2021
Baker Street,Destination,1,5,10,88604,59082,44219,28.1,2013
Baker Street,Destination,1,5,10,102048,66902,48786,32.18,2014
Baker Street,Destination,1,5,10,92275,61093,48419,29.38,2015
Baker Street,Destination,1,5,10,94618,61808,44110,29.75,2016
Baker Street,Destination,1,5,10,92029,92029,43014,27.34,2017
Baker Street,Destination,1,5,10,92000,61444,44388,27.35,2018
Baker Street,Destination,1,5,10,93150,61778,46019,28.07,2019
Baker Street,Destination,1,5,10,17341,9760,7620,8.48,2020
Baker Street,Destination,1,5,10,53332,41891,28996,11.15,2021
Bank and Monument,Destination,1,5,10,180227,39392,20999,48.88,2013
Bank and Monument,Destination,1,5,10,191785,44533,24894,52.31,2014
Bank and Monument,Destination,1,5,10,209134,58004,26879,57.51,2015
Bank and Monument,Destination,1,5,10,232075,72749,29903,64.26,2016
Bank and Monument,Destination,1,5,10,224256,224256,33747,59.26,2017
Bank and Monument,Destination,1,5,10,215072,55423,35018,56.89,2018
Bank and Monument,Destination,1,5,10,224519,79950,42104,61.79,2019
Bank and Monument,Destination,1,5,10,15242,6156,4228,7.03,2020
Bank and Monument,Destination,1,5,10,93515,42051,24360,17.66,2021
Barbican,Metro,1,3,4,36674,12398,9173,10.46,2013
Barbican,Metro,1,3,4,39842,14626,10240,11.44,2014
Barbican,Metro,1,3,4,39126,15780,9560,11.28,2015
Barbican,Metro,1,3,4,42154,14428,9456,11.97,2016
Barbican,Metro,1,3,4,41192,41192,10500,11.3,2017
Barbican,Metro,1,3,4,40588,14448,9632,11.16,2018
Barbican,Metro,1,3,4,37639,13101,8678,10.47,2019
Barbican,Metro,1,3,4,5634,1844,1256,2.54,2020
Barbican,Metro,1,3,4,17765,9932,6198,3.47,2021
Becontree,Local,5,1,2,9988,5847,3540,3.04,2013
Becontree,Local,5,1,2,11016,6842,4285,3.4,2014
Becontree,Local,5,1,2,11374,6851,4346,3.49,2015
Becontree,Local,5,1,2,11345,7368,4951,3.55,2016
Becontree,Local,5,1,2,11672,11672,4972,3.46,2017
Becontree,Local,5,1,2,11822,7728,5016,3.48,2018
Becontree,Local,5,1,2,11644,7639,4982,3.46,2019
Becontree,Local,5,1,2,5880,2738,1776,2.76,2020
Becontree,Local,5,1,2,8722,5874,3800,1.76,2021
Bond Street,Destination,1,2,6,121723,105275,57254,39.65,2013
Bond Street,Destination,1,2,6,59999,53154,31458,19.8,2014
Bond Street,Destination,1,2,6,112729,98058,59319,37.12,2015
Bond Street,Destination,1,2,6,121609,99413,60883,39.53,2016
Bond Street,Destination,1,2,6,121358,121358,55721,36.85,2017
Bond Street,Destination,1,2,6,120960,87748,62236,36.17,2018
Bond Street,Destination,1,2,6,120607,101744,62147,37.49,2019
Bond Street,Destination,1,2,6,19894,11826,7649,9.68,2020
Bond Street,Destination,1,2,6,72029,72934,42081,15.69,2021
Borough,Metro,1,1,2,15624,10214,6840,4.89,2013
Borough,Metro,1,1,2,16874,11740,7278,5.31,2014
Borough,Metro,1,1,2,17065,11560,7454,5.36,2015
Borough,Metro,1,1,2,18895,12214,7768,5.87,2016
Borough,Metro,1,1,2,18843,18843,8095,5.58,2017
