Station,LineCount,Zone,TotPlatforms
Acton Town,2,3,4
Baker Street,5,1,10
Bank and Monument,5,1,10
Barbican,3,1,4
Bond Street,2,1,6
Borough,1,1,2
Brent Cross,1,3,2
Camden Town,1,2,4
Canary Wharf,1,2,2
Canons Park,1,5,2
Charing Cross,2,1,4
Wood Lane,2,2,2
Clapham Common,1,2,2
Cockfosters,1,5,4
Covent Garden,1,1,2
Ealing Broadway,2,3,9
East Ham,2,4,2
Edgware,1,5,3
Embankment,4,1,6
Epping,1,6,2
Euston,2,1,6
Finchley Central,1,4,3
Golders Green,1,3,5
Green Park,3,1,6
Harrow & Wealdstone,1,5,4
Hounslow Central,1,4,2
King's Cross St. Pancras,6,1,8
Kingsbury,1,4,2
Leyton,1,3,2
Liverpool Street,4,1,4
Maida Vale,1,2,2
Morden,1,4,4
North Wembley,1,4,2
Piccadilly Circus,2,1,4
Rayners Lane,2,5,2
Ruislip,2,6,2
Stanmore,1,5,3
Stonebridge Park,1,3,2
Stratford,2,3,5
Tottenham Court Road,2,1,6
Upminster,1,6,3
Uxbridge,2,6,3
West Ham,3,3,4
Becontree,1,5,2
Brixton,1,2,2
Finchley Road,2,2,4
Northwood,1,6,2
Richmond,1,4,3
Wembley Park,2,4,5
